#{"t_start": 1736249810.1212168, "env_id": "None"}
r,l,t
-0.271264,200,114.456278
-13.70937,200,114.506107
-35.13803,200,114.556073
-1.308653,200,115.722932
-831.385961,200,115.790042
-231.252692,200,115.859484
-10.466091,200,115.906888
-69.054366,200,115.972525
-16.717344,200,116.023305
-1.530509,200,116.089303
-12.867689,200,116.13935
-0.54885,200,116.189998
-79.858929,200,116.240183
-2.208169,200,117.322385
-4.630366,200,117.422958
-3.879486,200,117.492445
-189.771502,200,117.572691
-10.639471,200,117.70592
-7.493971,200,117.856333
-52.924144,200,117.993574
-12.250441,200,118.106141
-171.821399,200,118.193233
-8.852741,200,118.306931
-207.602374,200,118.422777
-6.082917,200,119.597151
-12.571212,200,119.667188
-6.465099,200,119.725032
-3.663475,200,119.781126
-0.100689,200,119.836833
-0.619691,200,119.893873
-6.257856,200,119.950574
-1.627386,200,120.01825
-99.041956,200,120.080199
-17.694317,200,120.143737
-5.516344,200,121.306055
-4.674945,200,121.36645
-8.375006,200,121.424064
-3.18653,200,121.472554
-30.818,200,121.539082
-3.65293,200,121.589196
-1.708526,200,121.639716
-156.695624,200,121.707547
-568.260235,200,121.764457
-89.030973,200,121.805921
-10.588044,200,123.226092
-13.386232,200,123.370789
-424.226888,200,123.50586
-4.542114,200,123.601842
-9.743006,200,123.674259
-27.259397,200,123.805999
-4.869404,200,123.88912
-12.978356,200,123.977851
-46.343761,200,124.089456
-24.500693,200,124.172739
-4.318553,200,125.63876
-20.453873,200,125.706904
-14.883228,200,125.767878
-5.389455,200,125.823016
-231.887856,200,125.889003
-10.023561,200,125.939014
-6.818021,200,126.008403
-0.348491,200,126.07243
-18.628089,200,126.125892
-24.208768,200,126.172575
-4.056895,200,127.172215
-2.137845,200,127.225957
-41.421437,200,127.290707
-161.21809,200,127.372365
-1.401217,200,127.454134
-12.852351,200,127.523132
-27.610269,200,127.589489
-4.426911,200,127.642266
-46.911401,200,127.688972
-2.818089,200,127.739018
-5.085851,200,127.805659
-824.361648,200,128.889061
-16.387951,200,128.961404
-528.088529,200,129.005561
